0,1
Dataset\words\c03\c03-084f\c03-084f-05-03.png,Then
Dataset\words\a01\a01-058x\a01-058x-03-04.png,Washington
Dataset\words\c04\c04-160\c04-160-02-07.png,would
Dataset\words\c02\c02-017\c02-017-05-01.png,the
Dataset\words\a01\a01-072x\a01-072x-04-03.png,.
Dataset\words\a01\a01-049\a01-049-02-03.png,""""
Dataset\words\b06\b06-097\b06-097-01-05.png,leaving
Dataset\words\e06\e06-015\e06-015-03-00.png,The
Dataset\words\a06\a06-134\a06-134-03-06.png,danger
Dataset\words\d04\d04-047\d04-047-05-05.png,","
Dataset\words\c03\c03-084b\c03-084b-00-03.png,production
Dataset\words\b04\b04-000\b04-000-00-00.png,A
Dataset\words\c02\c02-026\c02-026-04-07.png,a
Dataset\words\e04\e04-015\e04-015-01-01.png,up
Dataset\words\a02\a02-067\a02-067-04-06.png,such
Dataset\words\c03\c03-087a\c03-087a-03-00.png,left
Dataset\words\a04\a04-035\a04-035-08-06.png,barriers
Dataset\words\b04\b04-195\b04-195-01-06.png,and
Dataset\words\e02\e02-086\e02-086-02-09.png,It
Dataset\words\e01\e01-092\e01-092-00-04.png,dc.
Dataset\words\e07\e07-061\e07-061-05-09.png,.
Dataset\words\c03\c03-081f\c03-081f-05-01.png,.
Dataset\words\a02\a02-124\a02-124-04-02.png,-
Dataset\words\a04\a04-035\a04-035-09-07.png,for
Dataset\words\e06\e06-037\e06-037-04-05.png,swimming
Dataset\words\a01\a01-113\a01-113-08-01.png,Korean
Dataset\words\b06\b06-100\b06-100-06-01.png,into
Dataset\words\a03\a03-050\a03-050-03-07.png,.
Dataset\words\c02\c02-082\c02-082-03-04.png,Peter
Dataset\words\c03\c03-021f\c03-021f-02-01.png,","
Dataset\words\d04\d04-086\d04-086-00-00.png,And
Dataset\words\c03\c03-081b\c03-081b-07-01.png,longest
Dataset\words\a01\a01-063u\a01-063u-02-04.png,discuss
Dataset\words\e04\e04-043\e04-043-03-05.png,of
Dataset\words\e02\e02-086\e02-086-03-07.png,things
Dataset\words\c03\c03-003c\c03-003c-01-01.png,throughout
Dataset\words\b01\b01-053\b01-053-04-03.png,the
Dataset\words\b06\b06-059\b06-059-07-01.png,movement
Dataset\words\a01\a01-077u\a01-077u-01-01.png,","
Dataset\words\b02\b02-105\b02-105-01-03.png,take
Dataset\words\d06\d06-025\d06-025-05-05.png,Knows
Dataset\words\c03\c03-021b\c03-021b-04-07.png,to
Dataset\words\c03\c03-081a\c03-081a-00-03.png,dramatist
Dataset\words\a04\a04-010\a04-010-06-02.png,He
Dataset\words\b04\b04-020\b04-020-03-03.png,goods
Dataset\words\c03\c03-081a\c03-081a-03-03.png,about
Dataset\words\b05\b05-079\b05-079-06-03.png,for
Dataset\words\c03\c03-087a\c03-087a-00-01.png,went
Dataset\words\b05\b05-079\b05-079-03-02.png,our
Dataset\words\c03\c03-094d\c03-094d-04-00.png,cally
Dataset\words\e06\e06-010\e06-010-03-03.png,water
Dataset\words\a01\a01-043x\a01-043x-02-04.png,Negro
Dataset\words\a03\a03-066\a03-066-05-00.png,would
Dataset\words\a02\a02-072\a02-072-07-05.png,up
Dataset\words\b06\b06-090\b06-090-06-02.png,base
Dataset\words\b01\b01-004\b01-004-01-00.png,settled
Dataset\words\b04\b04-195\b04-195-00-01.png,could
Dataset\words\b06\b06-068\b06-068-05-06.png,Common
Dataset\words\a04\a04-043\a04-043-01-04.png,missile
Dataset\words\a04\a04-099\a04-099-04-00.png,believes
Dataset\words\b02\b02-045\b02-045-03-06.png,need
Dataset\words\b03\b03-025\b03-025-04-00.png,and
Dataset\words\e06\e06-037\e06-037-05-02.png,are
Dataset\words\a01\a01-102u\a01-102u-07-05.png,problems
Dataset\words\b06\b06-042\b06-042-07-01.png,fought
Dataset\words\b06\b06-079\b06-079-00-00.png,It
Dataset\words\c03\c03-003f\c03-003f-01-02.png,in
Dataset\words\a02\a02-050\a02-050-04-08.png,that
Dataset\words\c04\c04-004\c04-004-01-07.png,will
Dataset\words\a06\a06-008\a06-008-06-03.png,the
Dataset\words\e01\e01-050\e01-050-01-03.png,was
Dataset\words\b04\b04-187\b04-187-00-03.png,at
Dataset\words\b03\b03-109\b03-109-08-00.png,system
Dataset\words\c02\c02-012\c02-012-05-05.png,much
Dataset\words\c02\c02-026\c02-026-00-01.png,summary
Dataset\words\e04\e04-127\e04-127-03-03.png,least
Dataset\words\c06\c06-095\c06-095-04-07.png,Rock
Dataset\words\b06\b06-036\b06-036-05-00.png,again
Dataset\words\a06\a06-075\a06-075-07-02.png,.
Dataset\words\d01\d01-080\d01-080-04-00.png,paragraphos
Dataset\words\c03\c03-007f\c03-007f-08-05.png,.
Dataset\words\c04\c04-023\c04-023-00-06.png,The
Dataset\words\a05\a05-017\a05-017-02-02.png,confident
Dataset\words\b06\b06-068\b06-068-07-00.png,present
Dataset\words\a04\a04-099\a04-099-00-04.png,","
Dataset\words\a03\a03-037\a03-037-00-04.png,defeat
Dataset\words\a04\a04-050\a04-050-01-05.png,to
Dataset\words\b01\b01-057\b01-057-08-08.png,justice
Dataset\words\c04\c04-023\c04-023-02-00.png,try
Dataset\words\d04\d04-096\d04-096-06-02.png,together
Dataset\words\e01\e01-062\e01-062-06-08.png,essential
Dataset\words\e01\e01-102\e01-102-01-07.png,mercerised
Dataset\words\a03\a03-023\a03-023-06-02.png,to
Dataset\words\c03\c03-096b\c03-096b-07-01.png,the
Dataset\words\e04\e04-004\e04-004-03-07.png,left
Dataset\words\b02\b02-035\b02-035-09-02.png,Government
Dataset\words\c03\c03-081c\c03-081c-01-02.png,allowing
Dataset\words\b04\b04-107\b04-107-02-08.png,Africans
Dataset\words\a01\a01-030u\a01-030u-00-08.png,.
Dataset\words\e06\e06-033\e06-033-02-01.png,you
Dataset\words\d06\d06-104\d06-104-05-06.png,on
Dataset\words\d06\d06-076\d06-076-03-00.png,We
Dataset\words\c06\c06-027\c06-027-06-01.png,was
Dataset\words\c03\c03-094f\c03-094f-07-06.png,proper
Dataset\words\e04\e04-019\e04-019-03-04.png,ensure
Dataset\words\a04\a04-015\a04-015-02-02.png,said
Dataset\words\e07\e07-072\e07-072-08-02.png,substitute
Dataset\words\b01\b01-127\b01-127-03-00.png,what
Dataset\words\a01\a01-117\a01-117-05-00.png,unsmiling
Dataset\words\c03\c03-081e\c03-081e-02-04.png,would
Dataset\words\c03\c03-021f\c03-021f-06-07.png,of
Dataset\words\a01\a01-007\a01-007-08-04.png,Federal
Dataset\words\a01\a01-107u\a01-107u-07-00.png,when
Dataset\words\e04\e04-026\e04-026-04-09.png,When
Dataset\words\c03\c03-081a\c03-081a-04-03.png,beautiful
Dataset\words\b06\b06-075\b06-075-02-01.png,confusion
Dataset\words\e07\e07-003\e07-003-02-04.png,viewed
Dataset\words\e01\e01-025\e01-025-09-04.png,in
Dataset\words\c03\c03-087d\c03-087d-02-01.png,to
Dataset\words\b05\b05-032\b05-032-00-05.png,World
Dataset\words\d04\d04-081\d04-081-06-03.png,Great
Dataset\words\a01\a01-049x\a01-049x-04-01.png,.
Dataset\words\b04\b04-096\b04-096-05-03.png,her
Dataset\words\e01\e01-035\e01-035-05-03.png,and
Dataset\words\a04\a04-027\a04-027-02-06.png,the
Dataset\words\a01\a01-007u\a01-007u-04-05.png,adequate
Dataset\words\b04\b04-026\b04-026-01-04.png,THIS
Dataset\words\c03\c03-087d\c03-087d-01-00.png,most
Dataset\words\b04\b04-140\b04-140-02-07.png,war
Dataset\words\d06\d06-030\d06-030-01-03.png,.
Dataset\words\c04\c04-139\c04-139-01-03.png,chair
Dataset\words\c04\c04-080\c04-080-03-08.png,two
Dataset\words\c06\c06-047\c06-047-00-01.png,has
Dataset\words\e07\e07-066\e07-066-07-02.png,latest
Dataset\words\a04\a04-047\a04-047-02-05.png,coming
Dataset\words\b05\b05-067\b05-067-03-05.png,to
Dataset\words\b06\b06-056\b06-056-09-05.png,have
Dataset\words\a01\a01-003u\a01-003u-10-07.png,""""
Dataset\words\a05\a05-013\a05-013-01-03.png,Watkinson
Dataset\words\a06\a06-095\a06-095-08-09.png,an
Dataset\words\a05\a05-039\a05-039-03-05.png,from
Dataset\words\d05\d05-025\d05-025-07-01.png,the
Dataset\words\a01\a01-020x\a01-020x-07-06.png,proposed
Dataset\words\a04\a04-027\a04-027-05-04.png,should
Dataset\words\e04\e04-026\e04-026-04-00.png,of
Dataset\words\c02\c02-056\c02-056-04-00.png,with
Dataset\words\d04\d04-121\d04-121-05-03.png,the
Dataset\words\b06\b06-097\b06-097-01-03.png,hopeful
Dataset\words\b04\b04-147\b04-147-06-03.png,the
Dataset\words\d07\d07-102\d07-102-01-07.png,Cent.
Dataset\words\c06\c06-103\c06-103-03-05.png,sharp
Dataset\words\a06\a06-039\a06-039-03-06.png,by
Dataset\words\b05\b05-088\b05-088-07-04.png,next
Dataset\words\e04\e04-119\e04-119-03-07.png,.
Dataset\words\a01\a01-113\a01-113-06-03.png,Government
Dataset\words\a04\a04-031\a04-031-06-02.png,Party
Dataset\words\a02\a02-116\a02-116-08-04.png,.
Dataset\words\b05\b05-071\b05-071-05-00.png,red
Dataset\words\c04\c04-035\c04-035-07-00.png,equally
Dataset\words\c06\c06-031\c06-031-02-03.png,.
Dataset\words\d04\d04-047\d04-047-02-06.png,the
Dataset\words\c06\c06-095\c06-095-02-02.png,spokesman
Dataset\words\a03\a03-020\a03-020-03-05.png,officers
Dataset\words\e04\e04-114\e04-114-02-04.png,be
Dataset\words\c03\c03-003f\c03-003f-02-06.png,the
Dataset\words\d04\d04-071\d04-071-04-03.png,unto
Dataset\words\a06\a06-124\a06-124-01-11.png,be
Dataset\words\d07\d07-082\d07-082-06-07.png,","
Dataset\words\e02\e02-018\e02-018-05-02.png,The
Dataset\words\e07\e07-012\e07-012-06-03.png,keep
Dataset\words\b03\b03-025\b03-025-03-07.png,council
Dataset\words\b06\b06-071\b06-071-02-01.png,chicanery
Dataset\words\a06\a06-119\a06-119-04-02.png,record
Dataset\words\a03\a03-047\a03-047-10-03.png,.
Dataset\words\b06\b06-093\b06-093-06-00.png,destruction
Dataset\words\d06\d06-008\d06-008-06-01.png,with
Dataset\words\c03\c03-096b\c03-096b-06-00.png,because
Dataset\words\d05\d05-030\d05-030-02-08.png,hated
Dataset\words\e02\e02-117\e02-117-06-02.png,shown
Dataset\words\e01\e01-107\e01-107-08-06.png,made
Dataset\words\a06\a06-064\a06-064-06-00.png,of
Dataset\words\b05\b05-042\b05-042-00-06.png,worker
Dataset\words\b05\b05-032\b05-032-04-05.png,""""
Dataset\words\a03\a03-009\a03-009-06-05.png,idea
Dataset\words\e06\e06-037\e06-037-01-02.png,differed
Dataset\words\a01\a01-113u\a01-113u-09-04.png,1950
Dataset\words\d01\d01-049\d01-049-03-03.png,was
Dataset\words\a01\a01-011\a01-011-06-11.png,.
Dataset\words\c02\c02-056\c02-056-01-06.png,history
Dataset\words\a01\a01-000u\a01-000u-02-01.png,to
Dataset\words\a01\a01-043u\a01-043u-02-05.png,Negro
Dataset\words\b04\b04-026\b04-026-06-03.png,want
Dataset\words\d04\d04-121\d04-121-00-00.png,And
Dataset\words\a04\a04-000\a04-000-03-08.png,their
Dataset\words\a02\a02-004\a02-004-03-00.png,hand-picked
Dataset\words\a02\a02-067\a02-067-08-02.png,His
Dataset\words\c04\c04-050\c04-050-01-00.png,from
Dataset\words\a01\a01-068u\a01-068u-04-06.png,the
Dataset\words\d07\d07-089\d07-089-04-04.png,The
Dataset\words\a06\a06-051\a06-051-00-08.png,from
Dataset\words\d06\d06-027\d06-027-01-01.png,human
Dataset\words\c06\c06-106\c06-106-07-04.png,she
Dataset\words\c04\c04-098\c04-098-04-00.png,American
Dataset\words\a06\a06-134\a06-134-02-07.png,false
Dataset\words\c04\c04-160\c04-160-00-05.png,than
Dataset\words\d07\d07-102\d07-102-06-00.png,on
Dataset\words\c03\c03-000a\c03-000a-06-03.png,conception
Dataset\words\e01\e01-107\e01-107-04-03.png,use
Dataset\words\e01\e01-018\e01-018-07-01.png,very
Dataset\words\d05\d05-025\d05-025-05-01.png,Book
Dataset\words\c06\c06-087\c06-087-05-08.png,the
Dataset\words\a04\a04-043\a04-043-03-02.png,Britain
Dataset\words\c03\c03-000f\c03-000f-07-01.png,conception
Dataset\words\a01\a01-026x\a01-026x-06-03.png,Party
Dataset\words\d06\d06-076\d06-076-00-06.png,rules
Dataset\words\b04\b04-181\b04-181-01-05.png,is
Dataset\words\e04\e04-019\e04-019-05-00.png,with
Dataset\words\b04\b04-066\b04-066-01-00.png,springtime
Dataset\words\d03\d03-117\d03-117-07-05.png,and
Dataset\words\d06\d06-104\d06-104-01-03.png,that
Dataset\words\e04\e04-004\e04-004-00-11.png,1
Dataset\words\a06\a06-100\a06-100-02-07.png,a
Dataset\words\b03\b03-109\b03-109-06-02.png,time
Dataset\words\a02\a02-090\a02-090-00-02.png,is
Dataset\words\b03\b03-087\b03-087-03-07.png,all
Dataset\words\a06\a06-044\a06-044-04-00.png,would
Dataset\words\a04\a04-096\a04-096-05-04.png,""""
Dataset\words\d04\d04-125\d04-125-04-02.png,(
Dataset\words\a02\a02-020\a02-020-05-06.png,enlivened
Dataset\words\c01\c01-014\c01-014-01-02.png,a
Dataset\words\a06\a06-014\a06-014-00-05.png,and
Dataset\words\b04\b04-116\b04-116-02-02.png,in
Dataset\words\e04\e04-043\e04-043-00-03.png,plans
Dataset\words\e06\e06-003\e06-003-06-01.png,fisheries
Dataset\words\a02\a02-106\a02-106-09-02.png,","
Dataset\words\b06\b06-036\b06-036-02-10.png,controlling
Dataset\words\b04\b04-169\b04-169-03-08.png,of
Dataset\words\c02\c02-089\c02-089-06-02.png,Lynne
Dataset\words\c03\c03-000d\c03-000d-01-04.png,Honey
Dataset\words\a01\a01-132\a01-132-04-04.png,Mr.
Dataset\words\e06\e06-033\e06-033-07-08.png,","
Dataset\words\e01\e01-092\e01-092-06-01.png,work
Dataset\words\b01\b01-027\b01-027-05-07.png,triumph
Dataset\words\a06\a06-090\a06-090-02-00.png,play
Dataset\words\c06\c06-095\c06-095-02-04.png,the
Dataset\words\d05\d05-008\d05-008-07-02.png,comfort
Dataset\words\a03\a03-066\a03-066-00-05.png,be
Dataset\words\a02\a02-116\a02-116-01-02.png,in
Dataset\words\b06\b06-000\b06-000-00-09.png,of
Dataset\words\c03\c03-003c\c03-003c-06-06.png,director
Dataset\words\a02\a02-008\a02-008-01-05.png,they
Dataset\words\c03\c03-021c\c03-021c-04-08.png,and
Dataset\words\a01\a01-058u\a01-058u-00-04.png,to
Dataset\words\e01\e01-119\e01-119-04-02.png,directions
Dataset\words\b06\b06-015\b06-015-08-03.png,much
Dataset\words\a01\a01-007u\a01-007u-06-00.png,Nationalist
Dataset\words\d04\d04-081\d04-081-07-03.png,and
Dataset\words\c03\c03-003e\c03-003e-07-04.png,attempted
Dataset\words\a01\a01-063x\a01-063x-04-06.png,due
Dataset\words\b04\b04-034\b04-034-03-10.png,","
Dataset\words\a01\a01-128\a01-128-06-07.png,net
Dataset\words\a04\a04-031\a04-031-04-04.png,Vienna
Dataset\words\a03\a03-011\a03-011-03-08.png,between
Dataset\words\c02\c02-003\c02-003-06-04.png,""""
Dataset\words\b05\b05-067\b05-067-05-05.png,in
Dataset\words\e01\e01-035\e01-035-00-09.png,designed
Dataset\words\d01\d01-019\d01-019-04-00.png,accidentally
Dataset\words\c03\c03-000c\c03-000c-07-01.png,.
Dataset\words\a06\a06-100\a06-100-06-05.png,went
Dataset\words\d04\d04-125\d04-125-04-04.png,)
Dataset\words\d04\d04-066\d04-066-07-03.png,any
Dataset\words\a01\a01-072u\a01-072u-02-01.png,is
Dataset\words\b04\b04-096\b04-096-00-00.png,Under
Dataset\words\b06\b06-068\b06-068-09-07.png,that
Dataset\words\e01\e01-107\e01-107-05-06.png,practice
Dataset\words\c04\c04-122\c04-122-02-09.png,)
Dataset\words\c03\c03-016b\c03-016b-04-07.png,when
Dataset\words\d06\d06-091\d06-091-07-07.png,.
Dataset\words\e01\e01-092\e01-092-00-05.png,A
Dataset\words\c03\c03-000a\c03-000a-01-06.png,at
Dataset\words\c04\c04-160\c04-160-02-08.png,have
Dataset\words\c02\c02-078\c02-078-02-04.png,sense
Dataset\words\c06\c06-128\c06-128-00-01.png,a
Dataset\words\c03\c03-081e\c03-081e-01-04.png,Irene
Dataset\words\a01\a01-128\a01-128-04-03.png,the
Dataset\words\d06\d06-082\d06-082-03-09.png,probably
Dataset\words\b04\b04-116\b04-116-05-00.png,If
Dataset\words\d01\d01-098\d01-098-05-06.png,book
Dataset\words\c03\c03-007a\c03-007a-06-04.png,memory
Dataset\words\d01\d01-104\d01-104-04-03.png,Pompeii
Dataset\words\c06\c06-039\c06-039-02-04.png,was
Dataset\words\c04\c04-044\c04-044-08-06.png,.
Dataset\words\c03\c03-081a\c03-081a-06-03.png,effective
Dataset\words\a03\a03-071\a03-071-07-02.png,as
Dataset\words\d01\d01-016\d01-016-03-06.png,interpretation
Dataset\words\e02\e02-082\e02-082-06-05.png,.
Dataset\words\a06\a06-119\a06-119-01-04.png,this
Dataset\words\d06\d06-091\d06-091-03-01.png,the
Dataset\words\e06\e06-049\e06-049-02-00.png,that
Dataset\words\a01\a01-003x\a01-003x-05-03.png,put
Dataset\words\c02\c02-059\c02-059-09-03.png,she
Dataset\words\c01\c01-014\c01-014-04-01.png,to
Dataset\words\b06\b06-093\b06-093-09-00.png,Week
Dataset\words\b06\b06-079\b06-079-06-03.png,independent
Dataset\words\c03\c03-007c\c03-007c-06-03.png,sacred
Dataset\words\c03\c03-000a\c03-000a-05-00.png,and
Dataset\words\a03\a03-006\a03-006-07-05.png,to
Dataset\words\d01\d01-019\d01-019-03-02.png,written
Dataset\words\c03\c03-016a\c03-016a-01-03.png,the
Dataset\words\a02\a02-116\a02-116-05-01.png,61-year-old
Dataset\words\b05\b05-050\b05-050-04-00.png,are
Dataset\words\a06\a06-070\a06-070-06-04.png,.
Dataset\words\d06\d06-000\d06-000-09-03.png,-
Dataset\words\b01\b01-009\b01-009-06-06.png,interests
Dataset\words\a01\a01-122\a01-122-05-07.png,was
Dataset\words\b05\b05-017\b05-017-02-07.png,better
Dataset\words\d06\d06-107\d06-107-02-03.png,entrance
Dataset\words\b04\b04-154\b04-154-07-07.png,that
Dataset\words\c02\c02-003\c02-003-03-05.png,.
Dataset\words\d06\d06-072\d06-072-06-05.png,in
Dataset\words\c03\c03-021e\c03-021e-01-05.png,Here
Dataset\words\c03\c03-000f\c03-000f-08-00.png,apparent
Dataset\words\b05\b05-062\b05-062-02-02.png,who
Dataset\words\e06\e06-010\e06-010-03-02.png,shallower
Dataset\words\b04\b04-140\b04-140-08-02.png,last
Dataset\words\c06\c06-005\c06-005-02-10.png,few
Dataset\words\a06\a06-064\a06-064-09-02.png,and
Dataset\words\e06\e06-070\e06-070-00-05.png,little
Dataset\words\e04\e04-127\e04-127-05-10.png,either
Dataset\words\a04\a04-059\a04-059-00-10.png,base
Dataset\words\a04\a04-006\a04-006-02-01.png,","
Dataset\words\a04\a04-035\a04-035-01-05.png,say
Dataset\words\c03\c03-003f\c03-003f-05-03.png,film
Dataset\words\d06\d06-015\d06-015-01-11.png,a
Dataset\words\b01\b01-118\b01-118-08-00.png,white
Dataset\words\d04\d04-081\d04-081-07-00.png,Deliverance
Dataset\words\c04\c04-056\c04-056-06-00.png,the
Dataset\words\d07\d07-096\d07-096-06-06.png,in
Dataset\words\a06\a06-014\a06-014-00-00.png,They
Dataset\words\c06\c06-058\c06-058-02-00.png,of
Dataset\words\d06\d06-086\d06-086-05-06.png,.
Dataset\words\b01\b01-044\b01-044-03-06.png,as
Dataset\words\a06\a06-134\a06-134-05-04.png,in
Dataset\words\c03\c03-084a\c03-084a-05-01.png,Fall
Dataset\words\c03\c03-094d\c03-094d-06-00.png,comically
Dataset\words\a01\a01-049x\a01-049x-09-02.png,Mr.
Dataset\words\b04\b04-000\b04-000-06-05.png,countries
Dataset\words\b06\b06-045\b06-045-03-06.png,the
Dataset\words\c03\c03-016c\c03-016c-02-03.png,a
Dataset\words\c04\c04-134\c04-134-06-03.png,10.15
Dataset\words\b05\b05-098\b05-098-03-01.png,","
Dataset\words\b04\b04-107\b04-107-06-01.png,.
Dataset\words\b03\b03-109\b03-109-05-08.png,in
Dataset\words\b03\b03-025\b03-025-01-11.png,the
Dataset\words\b01\b01-089\b01-089-02-02.png,diverting
Dataset\words\a06\a06-114\a06-114-00-05.png,Market
Dataset\words\c03\c03-021e\c03-021e-07-03.png,his
Dataset\words\b04\b04-107\b04-107-06-00.png,scrapped
Dataset\words\e04\e04-062\e04-062-07-06.png,a
Dataset\words\b03\b03-025\b03-025-02-00.png,truism
Dataset\words\a01\a01-077\a01-077-08-03.png,up
Dataset\words\b04\b04-107\b04-107-02-04.png,","
Dataset\words\c03\c03-084f\c03-084f-08-03.png,.
Dataset\words\e01\e01-102\e01-102-05-05.png,etc.
Dataset\words\a01\a01-082u\a01-082u-05-03.png,.
Dataset\words\a04\a04-103\a04-103-08-05.png,and
Dataset\words\e01\e01-059\e01-059-04-04.png,elegant
Dataset\words\a02\a02-093\a02-093-07-04.png,and
Dataset\words\a01\a01-011\a01-011-04-01.png,opposed
Dataset\words\a01\a01-038\a01-038-11-00.png,Sir
Dataset\words\a01\a01-132\a01-132-07-01.png,on
Dataset\words\a01\a01-122u\a01-122u-00-08.png,it
Dataset\words\c03\c03-021d\c03-021d-00-06.png,befriended
Dataset\words\a01\a01-091\a01-091-07-03.png,policy
Dataset\words\c03\c03-087d\c03-087d-02-00.png,attempting
Dataset\words\d01\d01-056\d01-056-04-02.png,and
Dataset\words\b05\b05-055\b05-055-01-02.png,pitch
Dataset\words\c06\c06-020\c06-020-06-09.png,America
Dataset\words\c03\c03-003b\c03-003b-06-09.png,failed
Dataset\words\c03\c03-003d\c03-003d-06-02.png,its
Dataset\words\d06\d06-086\d06-086-10-03.png,life
Dataset\words\b03\b03-098\b03-098-06-04.png,off
Dataset\words\c04\c04-017\c04-017-01-08.png,be
Dataset\words\c03\c03-007f\c03-007f-00-05.png,Mr.
Dataset\words\b01\b01-004\b01-004-05-07.png,Archbishop
Dataset\words\a03\a03-023\a03-023-02-00.png,with
Dataset\words\d06\d06-000\d06-000-03-06.png,better
Dataset\words\b01\b01-062\b01-062-05-03.png,where
Dataset\words\c03\c03-084d\c03-084d-03-01.png,them
Dataset\words\a01\a01-000u\a01-000u-02-05.png,a
Dataset\words\a05\a05-069\a05-069-00-02.png,the
Dataset\words\c06\c06-043\c06-043-01-04.png,ill
Dataset\words\b06\b06-056\b06-056-08-04.png,their
Dataset\words\b06\b06-100\b06-100-00-01.png,heli-hopping
Dataset\words\e06\e06-053\e06-053-07-01.png,actually
Dataset\words\c04\c04-004\c04-004-00-12.png,the
Dataset\words\b06\b06-093\b06-093-07-06.png,the
Dataset\words\c03\c03-021b\c03-021b-06-08.png,need
Dataset\words\d04\d04-016\d04-016-02-01.png,man
Dataset\words\b06\b06-097\b06-097-04-06.png,more
Dataset\words\c03\c03-021d\c03-021d-00-02.png,the
Dataset\words\d06\d06-041\d06-041-05-04.png,.
Dataset\words\b03\b03-087\b03-087-01-13.png,Bill
Dataset\words\a01\a01-117\a01-117-03-01.png,had
Dataset\words\e04\e04-091\e04-091-04-03.png,purpose
Dataset\words\b04\b04-175\b04-175-01-00.png,Certainly
Dataset\words\e06\e06-041\e06-041-02-02.png,it
Dataset\words\a01\a01-026u\a01-026u-10-06.png,Macmillan
Dataset\words\c04\c04-023\c04-023-02-02.png,persuade
Dataset\words\a03\a03-047\a03-047-03-04.png,last
Dataset\words\d01\d01-080\d01-080-01-10.png,the
Dataset\words\d06\d06-063\d06-063-00-04.png,most
Dataset\words\a04\a04-019\a04-019-03-08.png,given
Dataset\words\b06\b06-093\b06-093-08-02.png,Commonwealth
Dataset\words\d04\d04-081\d04-081-02-01.png,life
Dataset\words\e01\e01-107\e01-107-09-06.png,book
Dataset\words\a05\a05-044\a05-044-00-00.png,The
Dataset\words\b06\b06-075\b06-075-00-01.png,the
Dataset\words\a01\a01-132u\a01-132u-04-01.png,was
Dataset\words\b04\b04-010\b04-010-04-00.png,with
Dataset\words\e01\e01-062\e01-062-05-05.png,are
Dataset\words\c03\c03-094a\c03-094a-09-03.png,.
Dataset\words\d04\d04-032\d04-032-01-02.png,written
Dataset\words\b04\b04-040\b04-040-02-06.png,even
Dataset\words\b04\b04-187\b04-187-02-06.png,Eric
Dataset\words\c03\c03-087e\c03-087e-06-07.png,little
Dataset\words\a02\a02-053\a02-053-07-02.png,associates
Dataset\words\a01\a01-096u\a01-096u-08-06.png,and
Dataset\words\d01\d01-123\d01-123-06-04.png,have
Dataset\words\a01\a01-000x\a01-000x-03-03.png,down
Dataset\words\c04\c04-105\c04-105-01-05.png,"5,000"
Dataset\words\d06\d06-020\d06-020-09-00.png,the
Dataset\words\d06\d06-056\d06-056-03-04.png,probably
Dataset\words\e02\e02-086\e02-086-03-01.png,man
Dataset\words\d06\d06-003\d06-003-04-02.png,should
Dataset\words\a01\a01-026u\a01-026u-05-05.png,settlers'
Dataset\words\b05\b05-071\b05-071-00-02.png,the
Dataset\words\a02\a02-120\a02-120-05-03.png,used
Dataset\words\a01\a01-026\a01-026-08-01.png,Chequers
Dataset\words\a01\a01-043x\a01-043x-03-01.png,has
Dataset\words\a01\a01-132x\a01-132x-05-04.png,""""
Dataset\words\a01\a01-072x\a01-072x-04-04.png,It
Dataset\words\d06\d06-050\d06-050-02-05.png,has
Dataset\words\a01\a01-132u\a01-132u-01-03.png,an
Dataset\words\b03\b03-092\b03-092-03-10.png,challenger
Dataset\words\e04\e04-119\e04-119-01-04.png,you
Dataset\words\b02\b02-045\b02-045-05-01.png,this
Dataset\words\a02\a02-032\a02-032-02-06.png,is
Dataset\words\a03\a03-047\a03-047-10-02.png,East
Dataset\words\c03\c03-081c\c03-081c-04-07.png,However
Dataset\words\e04\e04-015\e04-015-02-00.png,chair
Dataset\words\a06\a06-036\a06-036-00-05.png,for
Dataset\words\c03\c03-021a\c03-021a-06-03.png,.
Dataset\words\b06\b06-027\b06-027-01-03.png,halfway
Dataset\words\e04\e04-095\e04-095-04-02.png,on
Dataset\words\a02\a02-008\a02-008-07-06.png,advise
Dataset\words\d07\d07-093\d07-093-01-05.png,the
Dataset\words\a03\a03-023\a03-023-04-01.png,of
Dataset\words\a01\a01-132u\a01-132u-04-03.png,-
Dataset\words\b05\b05-074\b05-074-10-05.png,to
Dataset\words\a01\a01-107u\a01-107u-05-07.png,Tories
Dataset\words\e04\e04-099\e04-099-03-08.png,for
Dataset\words\a01\a01-096u\a01-096u-02-00.png,this
Dataset\words\a03\a03-043\a03-043-01-05.png,terms
Dataset\words\c04\c04-170\c04-170-03-03.png,race
Dataset\words\d04\d04-050\d04-050-03-05.png,each
Dataset\words\c02\c02-049\c02-049-01-02.png,with
Dataset\words\b05\b05-079\b05-079-09-00.png,to
Dataset\words\b01\b01-027\b01-027-06-07.png,feudal
Dataset\words\a06\a06-044\a06-044-01-03.png,""""
Dataset\words\b01\b01-044\b01-044-06-04.png,into
Dataset\words\a04\a04-006\a04-006-05-03.png,of
Dataset\words\d06\d06-096\d06-096-01-08.png,and
Dataset\words\a06\a06-147\a06-147-06-03.png,Berlin's
Dataset\words\c03\c03-087b\c03-087b-00-08.png,most
Dataset\words\a04\a04-089\a04-089-02-04.png,that
Dataset\words\e02\e02-094\e02-094-05-00.png,work
Dataset\words\a06\a06-095\a06-095-08-10.png,idea
Dataset\words\e01\e01-113\e01-113-01-00.png,and
Dataset\words\c04\c04-056\c04-056-03-04.png,Brian
Dataset\words\b02\b02-105\b02-105-05-00.png,when
